DEC,HEX,Alpha Tag,Mode,Description,Tag,Group,Priority,Stream List
2027,7eb,DPS Air Ops,D,Department of Public Safety (DPS) Air Operations,Interop,Interoperability - Zone 75,1,west_houston
1179,49b,HPD Fox,D,"Houston Police Fox"" Helicopters (used for ground surveillance)""",Interop,Interoperability - Law Enforcement,1,west_houston
2210,8a2,GCI 1,D,Gulf Coast Interoperability (GCI) 1,Interop,Interoperability - Zone 77 Inter-RF Subsystem Interface (ISSI),1,west_houston
2219,8ab,GCI 10,D,Gulf Coast Interoperability (GCI) 10,Interop,Interoperability - Zone 77 Inter-RF Subsystem Interface (ISSI),1,west_houston
2220,8ac,GCI 11,D,Gulf Coast Interoperability (GCI) 11,Interop,Interoperability - Zone 77 Inter-RF Subsystem Interface (ISSI),1,west_houston
2221,8ad,GCI 12,D,Gulf Coast Interoperability (GCI) 12,Interop,Interoperability - Zone 77 Inter-RF Subsystem Interface (ISSI),1,west_houston
2222,8ae,GCI 13,D,Gulf Coast Interoperability (GCI) 13,Interop,Interoperability - Zone 77 Inter-RF Subsystem Interface (ISSI),1,west_houston
2223,8af,GCI 14,D,Gulf Coast Interoperability (GCI) 14,Interop,Interoperability - Zone 77 Inter-RF Subsystem Interface (ISSI),1,west_houston
2224,8b0,GCI 15,D,Gulf Coast Interoperability (GCI) 15,Interop,Interoperability - Zone 77 Inter-RF Subsystem Interface (ISSI),1,west_houston
2225,8b1,GCI 16,D,Gulf Coast Interoperability (GCI) 16,Interop,Interoperability - Zone 77 Inter-RF Subsystem Interface (ISSI),1,west_houston
2211,8a3,GCI 2,D,Gulf Coast Interoperability (GCI) 2,Interop,Interoperability - Zone 77 Inter-RF Subsystem Interface (ISSI),1,west_houston
2212,8a4,GCI 3,D,Gulf Coast Interoperability (GCI) 3,Interop,Interoperability - Zone 77 Inter-RF Subsystem Interface (ISSI),1,west_houston
2213,8a5,GCI 4,D,Gulf Coast Interoperability (GCI) 4,Interop,Interoperability - Zone 77 Inter-RF Subsystem Interface (ISSI),1,west_houston
2214,8a6,GCI 5,D,Gulf Coast Interoperability (GCI) 5,Interop,Interoperability - Zone 77 Inter-RF Subsystem Interface (ISSI),1,west_houston
2215,8a7,GCI 6,D,Gulf Coast Interoperability (GCI) 6,Interop,Interoperability - Zone 77 Inter-RF Subsystem Interface (ISSI),1,west_houston
2216,8a8,GCI 7,D,Gulf Coast Interoperability (GCI) 7,Interop,Interoperability - Zone 77 Inter-RF Subsystem Interface (ISSI),1,west_houston
2217,8a9,GCI 8,D,Gulf Coast Interoperability (GCI) 8,Interop,Interoperability - Zone 77 Inter-RF Subsystem Interface (ISSI),1,west_houston
2218,8aa,GCI 9,D,Gulf Coast Interoperability (GCI) 9,Interop,Interoperability - Zone 77 Inter-RF Subsystem Interface (ISSI),1,west_houston
3632,e30,HC Event 1,D,Event 1,Interop,Harris County Mutual Aid,1,west_houston
3634,e32,HC Event 2,D,Event 2,Interop,Harris County Mutual Aid,1,west_houston
3636,e34,HC Event 3,D,Event 3,Interop,Harris County Mutual Aid,1,west_houston
3638,e36,HC Event 4,D,Event 4 (Radio Cache),Interop,Harris County Mutual Aid,1,west_houston
535,217,HC MA 1,D,Harris County Mutual Aid 1,Interop,Interoperability - Zone 76,1,west_houston
3630,e2e,HC MA 10,D,Harris County Mutual Aid 10,Interop,Interoperability - Zone 76,1,west_houston
4086,ff6,HC MA 11,D,Harris County Mutual Aid 11,Interop,Interoperability - Zone 76,1,west_houston
4087,ff7,HC MA 12,D,Harris County Mutual Aid 12,Interop,Interoperability - Zone 76,1,west_houston
4088,ff8,HC MA 13,D,Harris County Mutual Aid 13,Interop,Interoperability - Zone 76,1,west_houston
4089,ff9,HC MA 14,D,Harris County Mutual Aid 14,Interop,Interoperability - Zone 76,1,west_houston
537,219,HC MA 2,D,Harris County Mutual Aid 2,Interop,Interoperability - Zone 76,1,west_houston
889,379,HC MA 3,D,Harris County Mutual Aid 3,Interop,Interoperability - Zone 76,1,west_houston
1159,487,HC MA 4,D,Harris County Mutual Aid 4,Interop,Interoperability - Zone 76,1,west_houston
1161,489,HC MA 5,D,Harris County Mutual Aid 5,Interop,Interoperability - Zone 76,1,west_houston
1163,48b,HC MA 6,D,Harris County Mutual Aid 6,Interop,Interoperability - Zone 76,1,west_houston
3624,e28,HC MA 7,D,Harris County Mutual Aid 7,Interop,Interoperability - Zone 76,1,west_houston
3626,e2a,HC MA 8,D,Harris County Mutual Aid 8,Interop,Interoperability - Zone 76,1,west_houston
3628,e2c,HC MA 9,D,Harris County Mutual Aid 9,Interop,Interoperability - Zone 76,1,west_houston
